rng_run,station_id,station_label,bin_index,bin_start_s,bin_end_s,microwave_active,phase,rx_bytes,throughput_mbps
1,0,sta1,0,0.0000,0.1000,0,pre,0,0.0000
1,0,sta1,1,0.1000,0.2000,0,pre,0,0.0000
1,0,sta1,2,0.2000,0.3000,0,pre,0,0.0000
1,0,sta1,3,0.3000,0.4000,0,pre,0,0.0000
1,0,sta1,4,0.4000,0.5000,0,pre,0,0.0000
1,0,sta1,5,0.5000,0.6000,0,pre,316416,25.3133
1,0,sta1,6,0.6000,0.7000,0,pre,368640,29.4912
1,0,sta1,7,0.7000,0.8000,0,pre,368640,29.4912
1,0,sta1,8,0.8000,0.9000,0,pre,356352,28.5082
1,0,sta1,9,0.9000,1.0000,0,pre,352256,28.1805
1,0,sta1,10,1.0000,1.1000,0,pre,356352,28.5082
1,0,sta1,11,1.1000,1.2000,0,pre,368640,29.4912
1,0,sta1,12,1.2000,1.3000,0,pre,368640,29.4912
1,0,sta1,13,1.3000,1.4000,0,pre,359424,28.7539
1,0,sta1,14,1.4000,1.5000,0,pre,352256,28.1805
1,0,sta1,15,1.5000,1.6000,0,pre,353280,28.2624
1,0,sta1,16,1.6000,1.7000,0,pre,368640,29.4912
1,0,sta1,17,1.7000,1.8000,0,pre,368640,29.4912
1,0,sta1,18,1.8000,1.9000,0,pre,365568,29.2454
1,0,sta1,19,1.9000,2.0000,0,pre,351232,28.0986
1,0,sta1,20,2.0000,2.1000,0,pre,353280,28.2624
1,0,sta1,21,2.1000,2.2000,0,pre,363520,29.0816
1,0,sta1,22,2.2000,2.3000,0,pre,368640,29.4912
1,0,sta1,23,2.3000,2.4000,0,pre,368640,29.4912
1,0,sta1,24,2.4000,2.5000,0,pre,351232,28.0986
1,0,sta1,25,2.5000,2.6000,0,pre,352256,28.1805
1,0,sta1,26,2.6000,2.7000,0,pre,361472,28.9178
1,0,sta1,27,2.7000,2.8000,0,pre,368640,29.4912
1,0,sta1,28,2.8000,2.9000,0,pre,368640,29.4912
1,0,sta1,29,2.9000,3.0000,0,pre,352256,28.1805
